Date,MMM_Close,MMM_Volume,ACN_Close,ACN_Volume,AMZN_Close,AMZN_Volume,AWK_Close,AWK_Volume,AAPL_Close,AAPL_Volume
2023-04-18,106.26809692382812,1614661,280.0199890136719,1493896,102.30000305175781,38368309,148.13499450683594,465106,166.47000122070312,46638742
2022-11-22,128.60000610351562,1757100,292.8900146484375,1417500,93.19999694824219,62192000,148.22000122070312,561200,150.17999267578125,51804100
2022-11-23,128.0,2349700,294.5299987792969,1229100,94.12999725341797,59414700,151.25999450683594,743700,151.07000732421875,58301400
2022-11-25,129.0399932861328,882400,296.3999938964844,677900,93.41000366210938,35088600,152.89999389648438,351500,148.11000061035156,35195900
2022-11-28,124.63999938964844,2773500,290.6000061035156,1253100,93.94999694824219,74943100,149.75,704800,144.22000122070312,69246000
2022-11-29,126.12999725341797,1863100,287.9800109863281,1055000,92.41999816894531,65567300,147.13999938964844,533600,141.1699981689453,83763800
2022-11-30,125.97000122070312,5830600,300.92999267578125,2767100,96.54000091552734,102805800,151.75999450683594,1467400,148.02999877929688,111380900
2022-12-01,125.98999786376953,2638800,302.8299865722656,1767200,95.5,68488000,154.00999450683594,811800,148.30999755859375,71250400
2022-12-02,126.98999786376953,1821900,300.1300048828125,1744500,94.12999725341797,72496400,153.74000549316406,584500,147.80999755859375,65447400
2022-12-05,124.62999725341797,2143100,292.739990234375,1800300,91.01000213623047,71535500,153.17999267578125,589400,146.6300048828125,68826400
2022-12-06,124.58000183105469,1919500,285.4100036621094,1920300,88.25,75503600,154.67999267578125,887500,142.91000366210938,64727200
2022-12-07,126.3499984741211,2701500,286.69000244140625,1861600,88.45999908447266,68086900,153.7899932861328,589600,140.94000244140625,69721100
2022-12-08,126.0,3785300,292.1499938964844,2046000,90.3499984741211,73305900,155.41000366210938,557100,142.64999389648438,62128300
2022-12-09,125.76000213623047,2334900,288.4100036621094,1827200,89.08999633789062,67398500,156.13999938964844,678900,142.16000366210938,76097000
2022-12-12,126.8499984741211,3877800,292.3399963378906,2429900,90.55000305175781,61999800,156.99000549316406,995600,144.49000549316406,70462700
2022-12-13,127.29000091552734,3256900,295.3500061035156,3516800,92.48999786376953,100212000,159.19000244140625,783300,145.47000122070312,93886200
2022-12-14,126.08999633789062,3095700,291.45001220703125,2552200,91.58000183105469,70298000,158.35000610351562,678200,143.2100067138672,82291200
2022-12-15,122.37999725341797,3336500,281.1199951171875,2870000,88.44999694824219,84802900,156.4199981689453,675700,136.5,98931900
2022-12-16,121.69000244140625,7599800,264.4800109863281,6532500,87.86000061035156,146144100,152.39999389648438,1919300,134.50999450683594,160156900
2022-12-19,122.12999725341797,2440100,255.39999389648438,4147500,84.91999816894531,83531500,151.47999572753906,686300,132.3699951171875,79592600
2022-12-20,120.80999755859375,2903000,261.8999938964844,3102500,85.19000244140625,74348300,150.25999450683594,991200,132.3000030517578,77432800
2022-12-21,123.45999908447266,2578100,268.9200134277344,3580100,86.7699966430664,59267200,152.52999877929688,598700,135.4499969482422,85928000
2022-12-22,121.58999633789062,2188400,264.760009765625,2276200,83.79000091552734,81431300,151.92999267578125,539600,132.22999572753906,77852100
2022-12-23,120.13999938964844,2609300,266.0899963378906,1213300,85.25,57433700,153.02000427246094,440300,131.86000061035156,63814900
2022-12-27,120.22000122070312,1811200,265.30999755859375,1009600,83.04000091552734,57284000,154.27999877929688,392800,130.02999877929688,69007800
2022-12-28,118.29000091552734,1961000,263.1199951171875,1387000,81.81999969482422,58228600,153.1199951171875,580600,126.04000091552734,85438400
2022-12-29,120.56999969482422,2060800,268.3800048828125,1516800,84.18000030517578,54995900,154.77999877929688,476700,129.61000061035156,75703700
2022-12-30,119.91999816894531,2096000,266.8399963378906,1339500,84.0,62401200,152.4199981689453,550700,129.92999267578125,77034200
2023-01-03,122.47000122070312,2612800,270.260009765625,2250100,85.81999969482422,76706000,154.10000610351562,640800,125.06999969482422,112117500
2023-01-04,125.1500015258789,2769700,269.3399963378906,2052400,85.13999938964844,68885100,157.1699981689453,668700,126.36000061035156,89113600
2023-01-05,122.95999908447266,2606600,262.9800109863281,2477100,83.12000274658203,67930800,154.6699981689453,975700,125.0199966430664,80962700
2023-01-06,126.72000122070312,2417000,269.2099914550781,1587000,86.08000183105469,83303400,158.25999450683594,541200,129.6199951171875,87754700
2023-01-09,126.79000091552734,2871300,273.75,2181500,87.36000061035156,65266100,158.44000244140625,789700,130.14999389648438,70790800
2023-01-10,128.1300048828125,1648100,274.92999267578125,1853000,89.87000274658203,67756600,160.77000427246094,715700,130.72999572753906,63896200
2023-01-11,129.1199951171875,2013500,281.0799865722656,2382400,95.08999633789062,103126200,161.4199981689453,854300,133.49000549316406,69458900
2023-01-12,129.35000610351562,1839500,283.8399963378906,2482500,95.2699966430664,85254800,159.4199981689453,569400,133.41000366210938,71379600
2023-01-13,129.50999450683594,1693400,282.1400146484375,2226800,98.12000274658203,85549400,158.8699951171875,537800,134.75999450683594,57809700
2023-01-17,126.5999984741211,3510900,284.8800048828125,2863700,96.05000305175781,72755000,157.24000549316406,814500,135.94000244140625,63646600
2023-01-18,122.75,4258500,277.8999938964844,2192700,95.45999908447266,79570400,152.69000244140625,786700,135.2100067138672,69672800
2023-01-19,118.43000030517578,4979700,272.8900146484375,2212500,93.68000030517578,69002700,150.19000244140625,493600,135.27000427246094,58280400
2023-01-20,120.6500015258789,4373500,280.4700012207031,3306600,97.25,67481500,151.5399932861328,756600,137.8699951171875,80223600
2023-01-23,122.62000274658203,3412200,279.3399963378906,2593300,97.5199966430664,76501100,150.97000122070312,643700,141.11000061035156,81760300
2023-01-24,115.0,10276500,274.8699951171875,2205300,96.31999969482422,66929500,154.5399932861328,656600,142.52999877929688,66435100
2023-01-25,112.93000030517578,5993200,273.1600036621094,2576300,97.18000030517578,94261600,155.50999450683594,848000,141.86000061035156,65799300
2023-01-26,113.55000305175781,4625600,274.260009765625,1942600,99.22000122070312,68523600,156.1999969482422,812700,143.9600067138672,54105100
2023-01-27,115.25,4114500,277.2699890136719,2101100,102.23999786376953,87775600,157.02000427246094,759100,145.92999267578125,70555800
2023-01-30,112.58000183105469,5902900,274.32000732421875,1732900,100.55000305175781,70691900,155.0,813100,143.0,64015300
2023-01-31,115.08000183105469,5071200,279.04998779296875,1841800,103.12999725341797,66527300,156.49000549316406,967400,144.2899932861328,65874500
